,Page URL,What's wrong,Details,Tasks,Info exists,Actionable,Topic - HC,
,Prevention+risk EN,The answer I need is missing,If I have tested positive and finished my isolation period will I be able to get someone else sick.,"Self-isolation guidelines, Transmission detail, recovery from illness",,y,Contagious - after isolation,
,Prevention+risk EN,The answer I need is missing,how long will cover live on paper and cardboard,Transmission detail,,y,Virus survival - how long it lives on surfaces,
,Prevention+risk EN,The answer I need is missing,I am wondering if a person should stay home after their symptoms of a cold (non-confirmed COVID-19) for 14 additional days? What is the risk of being out in the community immediately after symptoms subside?,"Self-isolation guidelines, recovery from illness",,y,Contagious - how long,
,Prevention+risk EN,The answer I need is missing,"I hear people talking about being a ""covid carrier"" what does that mean?",?,,n,COVID carrier - what does that mean,
,Prevention+risk EN,The answer I need is missing,Do we need to be concerned with people dropping light cigarette butts over their balcony and it falling onto our patio,Transmission detail,,y,Spread - Cigarette butts,
,Prevention+risk EN,The answer I need is missing,Can I visit unrelated friends in their home?,Physical distancing guidelines,y,y,No details,
,Prevention+risk EN,,Just want to know when people can see their grandchildren,Physical distancing guidelines,,y,Permissible activities - Social contact,
,Symptoms FR,The answer I need is missing,,,,,No details,
,Prevention+risk EN,Other reason,Symptoms if I might have Covid-19! I have low immune system as well as heart problems.,Symptom details,y,y,Symptoms For vulnerable people,
,Prevention+risk EN,The answer I need is missing,We have wedding event on June 26. I know 50 persons are allowed in gathering but how it will work ? I need detail. Also outside catering is allowed or not...,"Physical distancing guidelines, gatherings",,y,Permissible activities - Social contact - Wedding,
,Prevention+risks FR,I’m not in the right place,,,,,No details,
,Prevention+risk EN,Other reason,I want to send masks to Canada from Turkey. But I need more details regarding your standards. I've seen the American flag on some standards and need the spec for it. Can you help?,"Business, PPE",,y,Face mask - Supply Canada from Turkey,
,Prevention+risk EN,The answer I need is missing,How long does the coronavirus life on coin?,Transmission detail,,y,Virus survival - how long it lives on surfaces,
,Prevention+risk EN,,how long does Covid-19 last on cardboard?,Transmission detail,,,Virus survival - how long it lives on surfaces,
,Prevention+risk EN,The answer I need is missing,What about paperwork that is passed from a traveler to another who is expected to handle the paperwork plus touching pen and keyboard.,Transmission detail,,,"Transmission - Travelers - shared pens, keyboards",
,Prevention+risk EN,Other reason,I have a roommate that is showing signs,Symptoms,,,Transmission - Roommate,
,Prevention+risk EN,The answer I need is missing,how does a covid sick person manage the disease?????,What to do when sick,,y,Treatment - treating COVID-19 at home,
,Prevention+risk EN,,how do asymtomatic people spread covid 19,Transmission detail,,y,Spread - By asymptomatic people,
,Prevention+risk EN,The answer I need is missing,"After testing positive and remaining in self-isolation for 14 days, should a second test be done before the individual is allowed back at the workplace if they are an essential worker?",recovery from illness,,,Confirmed case - after 14-days isolation is a negative test required to be able to go back to work,
,Prevention+risk EN,Other reason,"If we want to conduct temperature check for customer, what PPE is necessary?",Physical distancing guidelines,,,Workplace - How to safely do temperature check of customer,
,Prevention+risk EN,The information isn’t clear,Wanting to know if flying from vancouver to ottawa in June has any restrictions,travel in canada,,,Travel - Domestic air travel - restrictions,
,Prevention+risk EN,,Who to contact to report breaking isolation rules,"Self-isolation guidelines, report someone",,,Quarantine/isolation - Report rule breaking,
,Prevention+risk EN,The information isn’t clear,I want to know if I have to take any extra precautions if I want to make a home-cooked meal for a front line worker,"Food preparation, transmission detail",,,Front line worker - Precautons to take cooking a meal for,
,Prevention+risk EN,Other reason,Can I mow the lawn and do gardening? Can I finish my basement?,,,N,"Permissable activities - Mowing lawn, gardening, home renovations",
,Prevention+risk EN,,students financial support,Financial support,,n,Financial support - For individuals - Students,
,Symptoms FR,The answer I need is missing,,,,,No details,
,Prevention+risk EN,The information isn’t clear,,,,,No details,
,Symptoms FR,I’m not in the right place,,,,,No details,
,Prevention+risk EN,,I know if someone not isolating and he just got back from equador less than a wk ago. What should I do?,"Self-isolation guidelines, report someone",,,Quarantine/isolation - Report rule breaking,
,Prevention+risk EN,,"Once you are tested, how long do you need to wait for results and if NOT infected, can you be with loved ones (who are also NOT infected) the next day?",Testing,,,COVID-19 test - How long for results,
,Prevention+risk EN,The answer I need is missing,,,,,No details,
,Prevention+risk EN,The answer I need is missing,In a retirement home during isolation (no sickness) do 2 close friends allowed to be together,Physical distancing guidelines,,,Physical distancing - Retirement home,
,Prevention+risk EN,I’m not in the right place,,,,,No details,
,Prevention+risk EN,,Elderly,,,n,Prevention - At-risk - Senior/elderly,
,Prevention+risk EN,The answer I need is missing,who can travel together in a car?,Physical distancing guidelines,,,Permissible activities - Carpool,
,Prevention+risk EN,The information isn’t clear,The claim form (number 3) ????,,,n,Feedback unclear,
,Prevention+risk EN,The information isn’t clear,"My brother and I live with our 84yr old mother. Mom is in the high-risk group due to existing health issues like diabetes. Our sister lives outside our home and insists on visiting even though we have expressly asked her not to. Mom lets her visit because ""she's not sick"". How do we stop her?",Physical distancing guidelines,,y,Physical distancing - Report rule breaking,
,Prevention+risk EN,,If I put a petition in my golf cart can I have a rider,Physical distancing guidelines,,,Permissible activities - Golf cart with partition,
,Prevention+risk EN,The answer I need is missing,can my son come to my house,Physical distancing guidelines,,,Permissable activities - Family relationships,
,Prevention+risk EN,The answer I need is missing,Who qualifies for the senior package for covid 19,Financial support,,n,Financial support - For individuals - Seniors,
,Prevention+risk EN,The answer I need is missing,,,,,Contagious - after isolation,
,Prevention+risk EN,Other reason,Is there responses for people who have underlying conditions who's partners are front line workers?,Physical distancing guidelines,,,Prevention - Partner is frontline worker,
,Prevention+risk EN,The answer I need is missing,I'm trying to find out if I should wear gloves to the grocery or drug store.,Physical distancing guidelines,,,Shopping - Gloves,
,Prevention+risk EN,,New cases in ontario,Epidemiology,,n,Statistics - Cases - Ontario,
,Prevention+risk EN,The answer I need is missing,What is the process for someone requested to come back to site after being off since the start of the essential personel only,"Physical distancing guidelines, restarting",,,Workplace - Return to work by non-essential staff,
,Symptoms FR,The answer I need is missing,,,,,No details,
,Prevention+risk EN,,Help for people with disabilities,General help,,y,Help/support - People with disabilities,
,Symptoms EN,The answer I need is missing,,,,,No details,
,Prevention+risk EN,,want to make contact with grandchildren,Physical distancing guidelines,,,Permissable activities - Family relationships,
,Prevention+risk EN,,Is there any emergency benefit for cpp disability pensioners,Financial support,,,Financial support - For individuals - Disability/seniors,
,Prevention+risk EN,The answer I need is missing,What are the regulations for travelling to and from Provinces.,Travel in Canada,,,Travel - Between provinces,
,Prevention+risk EN,The answer I need is missing,trying to find out if I am under a quarantine order,Self-isolation guidelines,,n,Quarantine - Should I,
,Prevention+risk EN,The answer I need is missing,Seasonal camping in Nova Scotia. Is it acceptable to travel 2 hours to get to seasonal lot just for the weekend,Travel in Canada,,,Permissible activities - Camping,
,Prevention+risk EN,The answer I need is missing,What is the percentage of positive COVID cases that have been determined to be asymptomatic?,Epidemiology,,,Cases - How many / percent asymptomatic,
,Prevention+risk EN,The answer I need is missing,"I was looking for info about how long a person is contagious after having contracted COVID-19. Many people they are no longer at risk after having the anti-bodies, but what about infecting other people? Can you catch the virus again if it has mutated?","Transmission details, recovery from illness",,,Contagious - how long,
,Prevention+risk EN,The answer I need is missing,Will cpp disability pensioners recieve money for emergency response,Financial support,,,Financial support - For individuals - Disability/seniors,
,Prevention+risk EN,,I need to know if my employer has the right to hide the name of an infected coworker.,Workplace,,,Workplace - Privacy rights of infected coworker ,
,Prevention+risk EN,The information isn’t clear,Can 5 people talk to each other outside while maintaining social distancing?,Physical distancing guidelines,,,Permissible activities - Group of 5 people with social distancing,
,Prevention+risk EN,I’m not in the right place,Been in isolation for 2 months is it all right to go out. Am 83 yrs. Old average health..,Physical distancing guidelines,,,Risk - Senior (83) go out after 2 months of isolation,
,Symptoms EN,The answer I need is missing,,,,,No details,
,Symptoms FR,I’m not in the right place,,,,,No details,
,Prevention+risk EN,,How many cases of coronavirus in Toronto as may 13,Epidemiology,,,Statistics - Cases - Toronto,
,Symptoms FR,The answer I need is missing,,,,,No details,
,Prevention+risk EN,I’m not in the right place,,,,,No details,
,Prevention+risk EN,,"I need to find a place for my family member to self isolate, he is returning from two month at Russia through Frankfort.",Self-isolation guidelines,,,Travel - Quarantine place for family member,
,Prevention+risk EN,,I have a friend that her child has been living with her father for the last 2 months during this pandemic and now the child is with her mother. Can the mother take her out visiting to her friends house or does the child have to isolate. The child is coming from a high case city,Physical distancing guidelines,,,Quarantine - Moving from one city to another,
,Prevention+risk EN,,Is it true that wearing mask is now a law?,face mask requirement,,,Face mask - Requirement,
,Symptoms FR,The answer I need is missing,,,,,No details,
,Prevention+risk EN,The answer I need is missing,I was looking for a clear list of necessary precautions to take to avoid infection,General precautions,,,,
,Prevention+risk EN,The answer I need is missing,Definition of Close Contact,Physical distancing guidelines,,,,
,Symptoms EN,The answer I need is missing,,,,,No details,
,Symptoms EN,The answer I need is missing,,,,,No details,
,Prevention+risk EN,,"I have heard that wearing a mask in public is now mandatory, is this information correct?",face mask requirement,,,,
,Symptoms EN,The answer I need is missing,,,,,No details,
,Symptoms EN,The answer I need is missing,,,,,No details,
,Symptoms EN,The answer I need is missing,,,,,No details,
,Symptoms EN,The answer I need is missing,,,,,No details,
,Symptoms EN,The answer I need is missing,,,,,No details,
,Prevention+risk EN,The answer I need is missing,"Can I take a family member not living with me, shopping when needed?",Physical distancing guidelines,,,,
,Symptoms EN,The answer I need is missing,,,,,No details,
,Prevention+risk EN,Other reason,Can I go out to hang out with my boyfriend?,Physical distancing guidelines,,,,
,Prevention+risk EN,The answer I need is missing,i would like to know what is opening and when,,,n,,
,Symptoms FR,The answer I need is missing,,,,,No details,
,Prevention+risk EN,,Seniors covid19 that the Priemier annouced last Tuesday? how to appy for it?,Financial support,,,,
,Prevention+risk EN,The answer I need is missing,If my employer is making it mandatory to wear a mask and have a health condition requiring me not to is this illegal?,"face mask requirement, workplace",,,,
,Prevention+risk EN,,"Can 5 sisters, who do not reside in the same residence have a sleep over?",Physical distancing guidelines,,,,
,Symptoms EN,The answer I need is missing,,,,,No details,
,Prevention+risk EN,,"I returned to work last week and symptoms occurred after work on Saturday , took test and self isolation for 9days until results,wondering about benefits for the week in isolation",Financial support,,,,
,Symptoms EN,The answer I need is missing,,,,,No details,
,Prevention+risk EN,,How long does the virus stay on surfaces?,Transmission detail,,,,
,Prevention+risk EN,The answer I need is missing,I need to know if someone who’s been in contact with someone who travelled has to self isolate,Self-isolation guidelines,,,,
,Prevention+risk EN,The answer I need is missing,"Our daughter lives in her home but wants to come to our home for an overnight stay, is this allowed",Physical distancing guidelines,,,,
,Prevention+risk EN,,"I'm 69 years old and husband 73, we HAD a housekeeper before Covid19, now my husband wants her to be able to come clean for us again. Our immune systems are compromised so I'm not sure if this would be allowed",Physical distancing guidelines,,,,
,Prevention+risk EN,The answer I need is missing,"In a clothing retail facility, can the virus be passed on to a garment that someone has tried on and then passed on to the next person trying it on?",Transmission detail,,,,
,Prevention+risk EN,The answer I need is missing,Can we visit with others yet?,Physical distancing guidelines,,,,
,Prevention+risk EN,The answer I need is missing,Do I have to change my clothes and shoes when I come home?,Transmission detail,,,,
,Symptoms FR,I’m not in the right place,,,,,No details,
,Symptoms FR,I’m not in the right place,,,,,No details,
,Prevention+risk EN,Other reason,Protecting seniors from cov19,General precautions - vulnerable,,,,
,Prevention+risk EN,,"14day quarantine,. Support,. As you can’t go public like bank or going to the store for cleaning supplies",Self-isolation guidelines,,,,
,Prevention+risk EN,Other reason,"To Display is not readable and used too mush space and style for reading on a computer monitor screen, Also light blue used for text is almost imposable to photo capture on a average celpone as a camera image for later reading. Please use black.",Design issue,,n,,
,Symptoms FR,Other reason,,,,,No details,
,Prevention+risk EN,The information isn’t clear,"Confusing use of Quarantine, or self isolating versus the more restrictive Isolating per this website. Quarantine should be the more restrictive situation and mean total isolation. That aside, under self isolating can one eat with their family? Something as simple as that is missing on this website.",Self-isolation guidelines,,,,
,Prevention+risk EN,Other reason,staying home from work to protect aged father. need to talk to someone,Contact,,,,
,Prevention+risk EN,The answer I need is missing,"I have not travelled outside of Canada recently, have not been in contact with a confirmed case, and have no symptoms, but I still want to be tested because I have underlying health conditions. How can I get a test? If I can’t right now, when?",Testing,,,,
,Prevention+risk EN,The answer I need is missing,My question is regarding transportation to church. If people had been car pooling all along prior to the lockdown can they still travel to church together as do ppl who carpool to work?,Physical distancing guidelines,,,,
,Prevention+risk EN,The answer I need is missing,Can I carpool to work as an essential healthcare worker? Need more clarification. Thanks,Physical distancing guidelines,,,,
,Prevention+risk EN,The answer I need is missing,"With things opening up, can a cleaning lady come into our home? We have heart disease & one finished chemo Aug. 2019. I am worried.",Physical distancing guidelines,,,,
,Prevention+risk EN,,Le covoiturage es tu permis,Physical distancing guidelines,,,,
,Prevention+risk EN,The answer I need is missing,seniors complex got help from grand kids over 3 days and got reminder of social distansing this is not a seniors home but an apartment complex partment,Physical distancing guidelines,,,,
,Prevention+risk EN,The answer I need is missing,"going to Nb for the day, do I need to self isolate",Travel in Canada,,,,
,Prevention+risk EN,The answer I need is missing,Can a person with covid that has a fever take fever reducing medications?,What to do when sick,,,,
,Symptoms EN,I’m not in the right place,,,,,No details,
,Prevention+risk EN,Other reason,Looking for the exact non medical mask suppose to be worn,Mask requirement,,,,
,Prevention+risk EN,Other reason,"Can I get Virus from a person who had it, officially diagnosed. But has beat it. Has been symptom free for 4 days. But his last test, 4 days ago was still positive?","Transmission detail, recovery from illness",,,,
,Prevention+risk EN,Other reason,Can I clean and reuse my blue work surgical mask And still be protected?,Mask requirement,,,,
,Prevention+risk EN,The answer I need is missing,How many people can attend a wedding?,Physical distancing guidelines,,,,
,Prevention+risk EN,,Can I go any Bruce Trail for hiking?,Travel within Canada,,,,
,Prevention+risk EN,,What if the air in my office is making Me sick,Transmission detail,,n,,
,Prevention+risk EN,The answer I need is missing,Are there any updated on returning Canadians from abroad? What is the difference between isolation and self quarantime?,"Travel from outside Canada, self-isolation guidelines",,,,
,Prevention+risk EN,Other reason,I was looking for a sign or notice I can print to tape on my front door so people know I am conserned on what is going on.,,,,,
,Prevention+risk EN,,How to make a mask,Mask requirement,,,,
,Prevention+risk EN,The answer I need is missing,What % if deaths were purely due to Covid and what % had underlying health conditions?,Epidemiology,,,,
,Prevention+risk EN,The answer I need is missing,Is wearing nitrile gloves of benefit when shopping?,"Transmission detail, PPE",,,,
,Prevention+risk EN,,How long do i leave grocery bags with food on the side not to be touched.,Transmission detail,,,,
,Prevention+risk EN,,Can you self isolate in a home with other relatives?,Self-isolation,,,,
,Prevention+risks FR,The answer I need is missing,ma conjointe a été teste positif le 6 avril .Cela fait 4 test qui sont négatifs mais mon employeur refuse que je retourne travailler car j ai pas passe de test,Recovery from illness,,,COVID-19 test - return to work,
,Prevention+risks FR,The answer I need is missing,"Bonsoir j’ai essayé à plusieurs reprise de trouvé une réponse à ma situation. Tous n’a aucune idée, car ma situation est pour la santé public. ma question: est-ce obligatoire de déclaré à mon employeur no.1 que j’ai un emploi à l’hôpital employeur no.2? est-ce obligatoire pour la santé public?",,,,Workplace - 2 jobs - compulsory to tell employer at job #2 that also have a job in a hospital,
,Prevention+risks FR,,"séjour de 7 jours en milieux hospitalier pour une opération, isolation???",,,,Quarantine - After surgery in hospital,
,Prevention+risks FR,The answer I need is missing,"Où, comment puis-je obtenir réponse à une question très précise : Le Coronavirus peut-il se transmettre sexuellement lors de : - baisers - cunnilingus - fellation par exemple... ?",,,,"Transmission - Sexually transmitted, oral sex",
,Prevention+risks FR,The answer I need is missing,J'aimerais savoir s'il est possible de faire du co-voiturage d'une durée de 1h30 environ,,,,Permissible activities - Carpool,
,Prevention+risks FR,The answer I need is missing,Peut-on embarquer en auto avec une personne qui n'habite pas à la même adresse pour aller faire l'épicerie...???,,,,Permissible activities - Carpool for grocery shopping,
,Prevention+risks FR,The answer I need is missing,Est-ce que les masques n-95 peuvent nous protéger des virus?,,,,Face mask - Effectiveness of N-95,
,Prevention+risks FR,The answer I need is missing,Est-ce que la circulation entre l’Ontario et le Québec est permise?,,,,Travel - Borders open between provinces,
,Prevention+risks FR,The answer I need is missing,"Bonjour , j'ai un employé qui doit aller avec son pere et son frere a montreal pour déménager les biens de la résidence pour ainés ou demeurait sa grand mere qui est décédée....quelles sont les précautions a prendre en tant qu'employeur et dois je obtenir certaines informations de sa part ....",,,,Workplace - Employer precautions with employee moving property of deceased relative from seniors residence,
,Prevention+risks FR,,"Où puis-je aller pour un test de dépistage, je demeure à Ville St-Laurent.",,,,COVID-19 test - Where to get a test,
,Prevention+risks FR,,Est ce que je peux reprendre les ménages dans les maisons privée?,,,,Permissable actvities - cleaning other people's houses,
,Prevention+risks FR,The answer I need is missing,"Après avoir passé un test négatif au Covid 19, est ce que je dois être quand même en quarantaine pour 14 jours?",,,,"Quarantine - if negative test, is 14 days still required",
,Prevention+risks FR,The answer I need is missing,"que fait on exactement pour être prise en charge en arrivant a l’aéroport, ne peux aller ou je vis, personnes plus de 65 ans.",,,,Travel - Can't return to home with vulnerable people over 65,
,Prevention+risks FR,The answer I need is missing,Est ce que 2 conjoints qui vivent séparément peuvent se voir ? Mon fils et sa compine respecte le.confinement maisnils on hâte de se voir est ce que c est accepté poir les relations de longue date pour des personnes qui ont respecté le confinement,,,,Permissable activities - Family relationships,
,Prevention+risk EN,The answer I need is missing,,,,,No details,
,Prevention+risks FR,The answer I need is missing,"Ma conjointe (62) recevra 4 petit enfants plus 2 d'autres familles) pour faire les leçons, est-ce risqué de contacté le virus ou simplement proscrit?",,,,Permissable activities - Look after grandchildren,
,Prevention+risks FR,Other reason,Moi je vois ma fille depuis le debut de la covid 19 avec ses enfantset des fois je cuche chez eux.Je reste ds une cooperative de 55ans et plus.Hier on me dit que si je couche chez ma fille je dois me mettre en quanrentaine je pourrais plus sortir pour faire mon lavage et ni mettre mes vidanges pend,,,,Permissable activities - Family relationships,
,Symptoms EN,The answer I need is missing,,,,,No details,
,Symptoms EN,The answer I need is missing,,,,,No details,
,Prevention+risk EN,I’m not in the right place,,,,,No details,
,Prevention+risks FR,,ou m inscrire por aider au personel,,,,Feedback unclear,
,Prevention+risks FR,,Question??? Est-ce qu’un employeur a le droit de me rappeler pour entrer au travail si j’ai 70 ans Merci,,,,Workplace - Return to work - Over 70 years old,
,Prevention+risks FR,The answer I need is missing,admissibilité PCUE,,,,Financial support - For individuals - Students (CESB),
,Prevention+risks FR,,Sera-t-il permis à un home de 80 ans de jouer au golf à partit du 20 mai?,,,,Permissible activities - Golf,
,Prevention+risks FR,The answer I need is missing,,,,,No details,
,Prevention+risks FR,The answer I need is missing,Je voudais porter une visiere dental acheter sur internet au lieu du masque est ce aussi efficace,,,,Face mask - Dental visor better,
,Prevention+risks FR,The answer I need is missing,"J'ai besoin de ma famille pour déménagé, combien de personnes puis-je prendre",,,,,
,Prevention+risks FR,The answer I need is missing,Est-ce une bonne idée de porter des gants?,,,,,
,Prevention+risks FR,The answer I need is missing,exactement sur quelle surface (carton plastique....) survit le virus combien de jours,,,,,
,Prevention+risks FR,The answer I need is missing,si j'amene une personne qui est assise en arriere de ma voiture coté droit pour un rendez-vous médicale suis je légal,,,,,
,Prevention+risks FR,,C'est quand les vétérinaire vont ouvrir leurs cliniques pour les vaccins pour les griffes et autres soins. La comme c'est là il sont ouverts pour les soins urgent,,,,,
,Prevention+risks FR,Other reason,"Après 14jours pas guérit, que faire ?",,,,,
,Symptoms EN,I’m not in the right place,,,,,No details,
,Prevention+risks FR,The answer I need is missing,Est ce que quelqu'un qui a eu le COVID-19 et qu'il est guéri peut l'attraper de nouveau? peut-il le transmettre si en contacte de nouveau avec le virus?,,,,,
,Prevention+risks FR,The answer I need is missing,J ai 64 ans j ai 3 stands pour les artères bloqué je prends des médicaments pour le coeur et pour le diabète j ai déjà eu un cancers de la vessie je fait du service a domicile est ce que je devrait cesser ce travail je crains pour ma santé,,,,,
,Prevention+risks FR,The answer I need is missing,J'aimerais savoir si je peux allé au chalet de mon partenaire de pêche et si on peux covoituré pour s'y rendre ?,,,,,
,Prevention+risks FR,The answer I need is missing,"J'ai une employée en nouvelle-écosse dont le conjoint reviendra lundi 18 mai de la colombie-britannique. Doit-il être placé en quarantaine ? Si oui, et qu'ils vivent ensemble et ne peuvent pas pratiquer l'isolement, devrait-elle venir au travail ?",,,,,
,Symptoms EN,The information isn’t clear,,,,,No details,
,Prevention+risks FR,The answer I need is missing,Besoin de savoir pour les promenades en motos ce qui est permis ou non Nombre de motos ensemble,,,,,
,Prevention+risks FR,,"POur les 70 ans et plus , quelles sont les consignes?",,,,,
,Prevention+risks FR,The answer I need is missing,déménagement,,,,,
,Symptoms EN,The answer I need is missing,,,,,No details,
,Prevention+risks FR,The answer I need is missing,Je veux savoir le nombre de personnes en regroupement en deconfinement,,,,,
,Symptoms EN,,Not enough information on symptoms by now there should other infomation such as things people notice before getting sick. Could be simple things like a different taste in a persons mouth or headache and other items,Symptoms,,,Symptoms - More info/details,
,Symptoms EN,,Is 38.8temp concerning,Symptoms,,,Symptoms - Fever,
,Symptoms EN,The answer I need is missing,I'm wondering if you have a serve case how do you treat it?,What to do when sick,,,Treatment - for severe case,
,Symptoms EN,The answer I need is missing,"If you suspect you have a mild case of corona virus, how long does it take to get better? Also are there other symptoms that are associated with the recovery stage?","Duration, symptoms",,,Recovery - How long does it take / symptoms,
,Symptoms EN,The answer I need is missing,You don't answer what is covid-19? Other than a new disease.,What is COVID,,,What is COVID-19 - More info/details,
,Symptoms EN,The information isn’t clear,,,,,No details,
,Symptoms EN,The answer I need is missing,"I want to know if I have one of the coronavirus symptoms such as muscle pain, what pain med should I take?",What to do when sick,,,Treatment - Muscle pain symptom,
,Prevention+risk EN,The answer I need is missing,,,,,No details,
,Symptoms EN,The answer I need is missing,What is the coronavirus?,What is COVID,,,What is COVID-19,
,Symptoms EN,Other reason,So when are yall going to roll out the mark?,,n,,Feedback unclear,
,Symptoms EN,The answer I need is missing,how to treat myself at home?,What to do when sick,,,Treatment - treating COVID-19 at home,
,Symptoms EN,Other reason,"The list of symptoms doesn’t include any of the new ones I’ve been hearing about (loss of smell/taste, purple rash, etc).",Symptoms,,,Symptoms - more details/info,
,Symptoms EN,,I have symptoms of severe common cold ?,Symptoms,,,Symptoms - severe common cold,
,Symptoms EN,,Have fever for four days How to take it down,What to do when sick,,,Treatment - Fever,
,Prevention+risk EN,The answer I need is missing,,,,,No details,
,Symptoms EN,The answer I need is missing,why is there not information for severe symptoms. Directing the general public to call their health care provider for suggestions to relieve symptoms seems like a time waster when acute symptoms require acute treatment -- like 911 or presentation for urgent assessment like an urgent care or ER/ED,What to do when sick,,,Symptoms - severe - what to do,
,Symptoms EN,The answer I need is missing,I have the runs (flu). It's almost a liquid.,"What to do when sick, symptoms",,,Feedback unclear,
,Symptoms EN,,I'm working in Louisiana State if I have A test before and is Negative no Covid 19 on my blood system and I FLy back to Canada do I still need to be in quarantine for 14 days,"Travel from outside Canada, self-isolation guidelines",,,Travel - return to Canada - quarantine necessary,
,Symptoms EN,The information isn’t clear,,,,,No details,
,Symptoms EN,The information isn’t clear,I would please like to know what the symtem s are for the virus please,Symptoms,,,Symptoms - what are they,
,Symptoms EN,,I need to apply for the Canada Emergency Student Benefit.,Financial support,,,Financial support - CESB,
,Symptoms EN,,application form,Financial support,,,Feedback not clear,
,Symptoms EN,,All the symptoms,Symptoms,n,,Symptoms - All of them,
,Symptoms FR,The answer I need is missing,,,,,No details,
,Symptoms EN,The information isn’t clear,Are there other symptoms other than the ones listed for covid19,Symptoms,,,Symptoms - More than those listed,
,Symptoms EN,Other reason,When I can return back to work after get covid test negative?,"Self-isolation guidelines, recovery from illness",,,COVID-19 test - return to work,
,Symptoms EN,The answer I need is missing,If your sense of smell is gone- isn’t that a sign something is wrong? You,Symptoms,,,Symptoms - Loss of sense of smell,
,Symptoms EN,The information isn’t clear,"Too vague, wishing to capture all? I have no contact with anyone, but sore throat, mucus, fever 100F, stomach upset, bad headache, trouble breathing, pain all over, but thanks to COVID-19 no asthma injections (severe asthmatic), and no ketamine infusions for pain. GP & Resperoligist hiding.",What to do when sick,,,Symptoms - All of them,
,Symptoms EN,,"I was looking for things to do IF you get/have the virus....you know, bed rest, drink fluids etc",What to do when sick,,,Treatment - treating COVID-19 at home,
,Symptoms EN,,Antibiotics,What to do when sick,,,Treatment - Antibiotics,
,Symptoms EN,The answer I need is missing,"If you become ill with just a normal flu, Does the 14 day precaution isolation period begin after you are symptom free?",Self-isolation guidelines,,,Quarantine - For normal flu,
